timestamp,gx,gy,gz,B,raw,label
1774146148.1851919,8.737867,-0.597333,2.277333,9.049496,"8.737867,-0.597333,2.277333,9.049496",touch
1774146148.1856341,8.737867,-0.5416,2.274133,9.045183,"8.737867,-0.541600,2.274133,9.045183",touch
1774146148.211107,8.737867,-0.524,2.277333,9.044951,"8.737867,-0.524000,2.277333,9.044951",touch
1774146148.222145,8.737867,-0.478933,2.230667,9.030813,"8.737867,-0.478933,2.230667,9.030813",touch
1774146148.246859,8.737867,-0.499467,2.2376,9.033639,"8.737867,-0.499467,2.237600,9.033639",touch
1774146148.2751172,8.737867,-0.7944,2.274667,9.063967,"8.737867,-0.794400,2.274667,9.063967",touch
1774146148.299859,8.737867,-0.738933,2.267467,9.057469,"8.737867,-0.738933,2.267467,9.057469",touch
1774146148.324453,8.737867,-0.5944,2.2736,9.048364,"8.737867,-0.594400,2.273600,9.048364",touch
1774146148.349163,8.737867,-0.573867,2.2696,9.046033,"8.737867,-0.573867,2.269600,9.046033",touch
1774146148.373929,8.737867,-0.460533,2.2368,9.031373,"8.737867,-0.460533,2.236800,9.031373",touch
1774146148.4021409,8.737867,-0.249333,2.294133,9.037451,"8.737867,-0.249333,2.294133,9.037451",touch
1774146148.426858,8.737867,-0.432,2.2824,9.041366,"8.737867,-0.432000,2.282400,9.041366",touch
1774146148.451571,8.737867,-0.5864,2.277867,9.048914,"8.737867,-0.586400,2.277867,9.048914",touch
1774146148.476181,8.737867,-0.531467,2.276,9.045051,"8.737867,-0.531467,2.276000,9.045051",touch
1774146148.501096,8.737867,-0.436,2.286133,9.042501,"8.737867,-0.436000,2.286133,9.042501",touch
1774146148.5591922,8.737867,-0.298133,2.288533,9.03751,"8.737867,-0.298133,2.288533,9.037510",touch
1774146148.559597,8.737867,-0.2624,2.289867,9.03674,"8.737867,-0.262400,2.289867,9.036740",touch
1774146148.586333,8.737867,-0.126933,2.306933,9.038163,"8.737867,-0.126933,2.306933,9.038163",touch
1774146148.60305,8.737867,-0.150933,2.546933,9.102746,"8.737867,-0.150933,2.546933,9.102746",touch
1774146148.627755,8.737867,-0.0288,2.9256,9.214677,"8.737867,-0.028800,2.925600,9.214677",touch
1774146148.656023,8.737867,-0.016,3.430133,9.387033,"8.737867,-0.016000,3.430133,9.387033",touch
1774146148.680759,8.737867,-0.015467,3.937067,9.583895,"8.737867,-0.015467,3.937067,9.583895",touch
1774146148.705377,8.737867,-0.0088,4.207467,9.698101,"8.737867,-0.008800,4.207467,9.698101",touch
1774146148.730083,8.737867,-0.004,4.307734,9.742017,"8.737867,-0.004000,4.307734,9.742017",touch
1774146148.754844,8.737867,-0.005067,4.1536,9.674851,"8.737867,-0.005067,4.153600,9.674851",touch
1774146148.783078,8.737867,-0.0064,3.919467,9.576668,"8.737867,-0.006400,3.919467,9.576668",touch
1774146148.807803,8.737867,-0.013333,3.7064,9.491464,"8.737867,-0.013333,3.706400,9.491464",touch
1774146148.8325162,8.737867,-0.009333,3.535733,9.426124,"8.737867,-0.009333,3.535733,9.426124",touch
1774146148.857318,8.737867,-0.0144,3.281333,9.333685,"8.737867,-0.014400,3.281333,9.333685",touch
1774146148.8820171,8.737867,-0.016,3.006133,9.240531,"8.737867,-0.016000,3.006133,9.240531",touch
1774146148.936497,8.737867,-0.0184,2.481067,9.0833,"8.737867,-0.018400,2.481067,9.083300",touch
1774146148.937016,8.737867,-0.0144,2.3824,9.05684,"8.737867,-0.014400,2.382400,9.056840",touch
1774146148.963964,8.737867,-0.0128,2.3512,9.048681,"8.737867,-0.012800,2.351200,9.048681",touch
1774146148.9840991,8.737867,-0.014933,2.330933,9.043439,"8.737867,-0.014933,2.330933,9.043439",touch
1774146149.008642,8.737867,-0.117333,2.315467,9.040214,"8.737867,-0.117333,2.315467,9.040214",touch
1774146149.0369868,8.737867,-0.245333,2.291467,9.036665,"8.737867,-0.245333,2.291467,9.036665",touch
1774146149.0616372,8.737867,-0.248,2.3016,9.039313,"8.737867,-0.248000,2.301600,9.039313",touch
1774146149.08638,8.737867,-0.049067,2.266133,9.027075,"8.737867,-0.049067,2.266133,9.027075",touch
